node_id,split,dialog_id,turn_id,text,shift_label
0,train,1,0,hey ! do you love cats ?,-1
1,train,1,1,"hey . . . i am a dog person , i have two",0
2,train,1,2,"ah that is cool , i have two cats and got a collection of 1000 hats for them !",0
3,train,1,3,wow ! ! ! that is a lot lol,0
4,train,1,4,"yeah , i have a weakness for cats and vanilla ice cream , they are the best !",1
5,train,1,5,my weakness is eating when i am bored,0
6,train,1,6,what is your favorite season ? mine is winter !,1
7,train,1,7,i am a summer girl,0
8,train,1,8,have you ever watched the olympics ? i won a gold medal in 1992 !,1
9,train,1,9,cool what did you win for ?,0
10,train,1,10,it was in the 100 meter dash ! i got 7 seconds !,0
11,train,1,11,wow ! ! i just run on my treadmill lol,0
12,train,1,12,nothing like a good exercise !,0
13,train,1,13,yes and i love the rower machine,0
14,train,1,14,"row row row your boat gently down the stream , when you see a crocodile . . .",0
15,train,1,15,lol nursery r h y m e s,0
16,train,2,0,i love bunnies ! i wish i would open a bunny daycare or hotel .,-1
17,train,2,1,that is a cool idea . how are you today ?,1
18,train,2,2,a little tired . worked all day today at the shipyard .,0
19,train,2,3,"i just got back from school , not a big fan of it though .",0
20,train,2,4,you should join the military . i am ex military . girls love uniforms ;,1
21,train,2,5,i have never considered it . maybe it would help me make some more friends .,0
22,train,2,6,"i joined the navy because i like navy blue , but infantry has sexy uniforms also .",0
23,train,2,7,i will definitely keep the in mind if i join .,0
24,train,2,8,i donate part of my salary to my bunny rescue . you should too .,1
25,train,2,9,do you have any bunnies ?,0
26,train,2,10,not anymore . i ate them all .,0
27,train,2,11,wow ! you have quite the appetite .,0
28,train,2,12,"yeah , i like to eat . what do you do for a living ?",1
29,train,2,13,i am a receptionist at a dentist office,0
30,train,3,0,hi how are you tonight ?,-1
31,train,3,1,i am worn out from work today . how are you ?,0
32,train,3,2,me too ! i am trying to train for a 5k,0
33,train,3,3,i used to run . i work at a convenience store .,1
34,train,3,4,oh well i am in high school but i know what i want to do,0
35,train,3,5,what do you want to do ?,0
36,train,3,6,i want to be a physical therapist,0
37,train,3,7,that sounds like a good job . i am the manager at the store that i work at .,0
38,train,3,8,that is cool . i try to make all straight as so i can achieve my goa,0
39,train,3,9,great ! do you like taylor swift ? i met her once .,1
40,train,3,10,yeah she is cool . she seems nice and her songs are catchy,0
41,train,3,11,i have her latest album in my car . i have a nissan .,1
42,train,3,12,nice ! hopefully i will get a car when i graduate,0
43,train,3,13,what kind of car do you want ?,0
44,train,4,0,"hi , my name is kate and i am from ohio .",-1
45,train,4,1,hello miss ! i m ben and i m grounded for not picking up my toys,0
46,train,4,2,i am sorry to hear that . do you like pizza ?,1
47,train,4,3,when mommy orders it . what do you like on your pizza ?,0
48,train,4,4,it is my favorite food . i really like it with black olives on it . you ?,0
49,train,4,5,i like the red stuff underneath the cheese ! how old are you ?,1
50,train,4,6,i am thirty years old and i work at a supermarket in my town .,0
51,train,4,7,is that where my parents pick up the food ?,0
52,train,4,8,i am not sure if it is the same one .,0
53,train,4,9,do you have any pets ?,1
54,train,4,10,i have a cat . his name is spook . what about you ?,0
55,train,4,11,i have a turtle . i named him leo,0
